PaymentID,OrderID,CreditCardType,CreditCard,Shipping
9375746,2686694,diners-club-carte-blanche,30408016042565,Truck
8054789,6995728,jcb,3549221112237767,Truck
1787910,42043251,jcb,3557159608180902,Air
8808459,575201044,jcb,3529909223663921,Truck
3485714,369873308,china-unionpay,5602235978541517,Air
5058585,118220580,laser,6706247841149207,Air
8169510,24909111,diners-club-carte-blanche,30528106894581,Truck
4546599,49527013,jcb,3589144247894735,Truck
7049257,52125325,jcb,3557048508901444,Air
8644650,45802283,jcb,3534727482148019,Truck
6996011,50563202,diners-club-enroute,201441036983941,Air
5638187,605121035,jcb,3558313957113134,Truck
8015923,548686162,diners-club-enroute,201524347329142,Truck
1404982,579558315,jcb,3542457262271746,Air
3678262,581180404,jcb,3547068258964254,Air
5777470,65862082,visa,4041371050360,Air
5775428,501690005,china-unionpay,5602211184221939,Air
5519432,49404204,mastercard,5002351018761126,Air
7006281,3630459,jcb,3548068832942494,Air
4827209,579552282,jcb,3585383496896249,Truck
3436621,28107003,china-unionpay,56022105354711346,Air
4249682,538080349,jcb,3576763704595652,Air
3897429,13537217,maestro,604525485607861638,Truck
1370203,449110082,jcb,3546807614061714,Air
7348316,55316647,jcb,3588036589424991,Truck
5388387,16864002,diners-club-carte-blanche,30240358463798,Air
6750308,59779169,china-unionpay,56022501319392398,Air
7571557,5271366,jcb,3570488496631574,Air
1382500,37012160,bankcard,5602220329654466,Air
5845096,636295233,switch,6331104307525411960,Air
5259371,548684525,jcb,3586986013009234,Air
5462123,653421377,jcb,3530359845954588,Truck
6297716,37000069,jcb,3530468797987148,Air
8306806,9045721,jcb,3540072326980984,Truck
6482040,584148748,maestro,50206342732688216,Air
2193529,636294582,jcb,3579626410137811,Truck
5219702,47593363,maestro,6763663155922015,Truck
1214587,7813167,mastercard,5108759057194335,Air
6457469,68084375,diners-club-carte-blanche,30470505329267,Truck
7633025,16714387,maestro,67624342787871137,Air
3500162,51389107,jcb,3580772511300234,Truck
7538817,504366858,maestro,6759736284538971,Air
1118339,4097926,diners-club-carte-blanche,30577737638354,Truck
9238658,557142205,jcb,3576918328666970,Air
9642121,551546707,jcb,3572336952720431,Truck
3659915,765191011,jcb,3533623578551714,Truck
1497228,4401771,visa,4041593273964,Air
9965709,55289410,jcb,3547958419339331,Air
7426192,527091001,visa,4041379720535,Air
2896016,66915613,bankcard,5602259875697917,Air
4905106,13107020,switch,4905887852627247,Truck
1783953,636294358,visa,4041376214701911,Truck
4423824,438570292,jcb,3548802121832283,Air
7381141,68016213,visa,4041371642821308,Air
8059027,636291792,diners-club-carte-blanche,30216536185958,Truck
1437847,548686368,switch,5641829342998380589,Truck
8736922,2806091,bankcard,5602244687262597,Air
6004893,76439209,jcb,3564417859541060,Truck
2603167,53208447,maestro,501893245844625853,Truck
5511331,6157565,laser,63048443465578551,Truck
